               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046954,            0.031931,           0.0091493,             0.39216,             0.24669,             0.18914,            0.066336,            0.057448,            0.049439,            0.015074,           0.0033244,           0.0033244,             0.07008
                   1,            0.052927,            0.034735,            0.011193,             0.41312,             0.30155,             0.22525,            0.075872,            0.052609,            0.041812,            0.010165,           0.0065923,           0.0065923,            0.040015
                   2,            0.052098,            0.034171,            0.010648,             0.39119,             0.27364,             0.19891,            0.078806,            0.058971,            0.030881,            0.019128,           0.0096024,           0.0096024,           0.0096917
                   3,             0.05118,            0.033901,            0.010649,              0.5221,             0.25634,             0.26614,             0.10323,             0.05519,            0.027691,            0.010346,           0.0091406,           0.0091406,           0.0091406
                   4,            0.050596,            0.033893,            0.010346,             0.57674,             0.25998,             0.26323,            0.095219,            0.051286,             0.02701,           0.0096455,           0.0091406,           0.0091406,           0.0091406
                   5,            0.049703,            0.033308,           0.0099939,             0.46654,             0.27766,             0.28098,             0.10883,            0.050297,            0.027701,           0.0092565,           0.0085111,           0.0085111,           0.0085111
                   6,            0.049458,            0.033074,           0.0098792,             0.52364,             0.31313,             0.28697,             0.11702,             0.04753,            0.024623,           0.0099053,             0.00775,             0.00775,             0.00775
                   7,            0.048852,            0.032618,            0.009779,             0.57224,              0.3444,             0.35576,             0.14609,            0.045742,            0.023261,            0.008171,           0.0068906,           0.0068906,           0.0068906
                   8,            0.047877,            0.032294,           0.0092606,             0.58727,             0.30645,             0.34095,             0.14041,            0.046384,            0.024301,            0.008435,           0.0059704,           0.0059704,           0.0059704
                   9,            0.047217,            0.031967,           0.0092345,             0.61848,             0.34132,             0.37379,             0.16039,            0.044305,             0.02313,           0.0073284,           0.0050296,           0.0050296,           0.0050296
                  10,            0.046194,            0.031629,           0.0088163,             0.59323,             0.37019,             0.38063,             0.15621,            0.043658,             0.02235,             0.00736,           0.0041094,           0.0041094,           0.0041094
                  11,            0.045518,            0.030882,           0.0085467,             0.61909,             0.35964,             0.38724,             0.17458,            0.042671,            0.022096,           0.0071117,             0.00325,             0.00325,             0.00325
                  12,            0.044504,            0.030584,           0.0083153,              0.7187,             0.37247,             0.41269,             0.18104,            0.042063,            0.021562,           0.0066756,           0.0024889,           0.0024889,           0.0024889
                  13,            0.043314,            0.030015,           0.0079004,             0.63822,             0.39199,             0.43128,             0.19492,            0.041225,            0.021519,           0.0062993,           0.0018594,           0.0018594,           0.0018594
                  14,            0.042775,            0.029906,           0.0074411,             0.57201,             0.39833,             0.45142,             0.20855,            0.040579,             0.02103,           0.0059739,            0.001389,            0.001389,            0.001389
                   0,            0.033562,            0.023673,            0.002956,             0.85624,             0.62771,             0.68471,             0.35592,            0.034159,            0.018224,           0.0028419,           0.0033244,           0.0033244,             0.07008
                   1,            0.037232,            0.024542,            0.003209,               0.806,             0.62095,              0.6709,             0.32468,            0.035288,             0.01861,           0.0031727,           0.0065923,           0.0065923,            0.040015
                   2,            0.038981,             0.02548,           0.0038188,             0.80046,              0.5652,             0.62092,             0.28986,            0.037549,            0.019917,           0.0041018,           0.0096024,           0.0096024,           0.0096917
                   3,            0.038406,            0.026434,           0.0045599,             0.79355,             0.56491,             0.62312,             0.28636,            0.037185,            0.019543,            0.003818,           0.0091406,           0.0091406,           0.0091406
                   4,            0.038289,            0.026638,           0.0044239,             0.79531,             0.57634,             0.63064,             0.30629,            0.036652,            0.019349,           0.0036969,           0.0091406,           0.0091406,           0.0091406
                   5,            0.037879,            0.026394,           0.0042981,             0.83076,             0.55026,             0.62952,             0.30408,            0.036666,             0.01947,           0.0037215,           0.0085111,           0.0085111,           0.0085111
                   6,            0.037218,            0.025969,           0.0041061,              0.8219,             0.57618,             0.63857,             0.31537,            0.036196,            0.019067,           0.0034863,             0.00775,             0.00775,             0.00775
                   7,             0.03666,            0.025567,           0.0040317,             0.82534,             0.57364,             0.64282,             0.31147,            0.036181,            0.019186,           0.0033078,           0.0068906,           0.0068906,           0.0068906
                   8,            0.036003,            0.025319,           0.0037237,             0.83715,             0.57933,             0.64347,             0.32298,            0.035801,            0.019092,           0.0033141,           0.0059704,           0.0059704,           0.0059704
                   9,            0.035529,            0.025047,           0.0036327,              0.8149,             0.61127,             0.66703,             0.33601,            0.035234,            0.018881,           0.0030878,           0.0050296,           0.0050296,           0.0050296
                  10,            0.034929,            0.024828,           0.0034276,             0.81999,             0.61573,             0.67353,             0.33675,            0.034894,            0.018632,            0.002901,           0.0041094,           0.0041094,           0.0041094
                  11,             0.03454,            0.024293,           0.0032354,              0.8172,             0.63121,             0.68041,               0.341,             0.03461,             0.01842,           0.0028392,             0.00325,             0.00325,             0.00325
                  12,             0.03409,            0.024231,           0.0031589,             0.86179,             0.61615,             0.68476,             0.35481,            0.034318,            0.018297,           0.0028088,           0.0024889,           0.0024889,           0.0024889
                  13,            0.033634,            0.023943,           0.0030922,             0.83961,             0.62781,             0.69047,             0.35751,            0.034183,            0.018326,            0.002749,           0.0018594,           0.0018594,           0.0018594
                  14,            0.033498,            0.023987,           0.0029657,             0.86618,             0.61562,             0.68809,             0.36346,            0.033867,            0.018209,           0.0026029,            0.001389,            0.001389,            0.001389
